<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.20	113.79	115.87	111.81	111.81	137	216	1
2020.07.21	113.16	115.40	113.01	114.46	100	243	1
2020.07.22	117.01	122.73	117.01	121.17	791	1046	1
2020.07.23	121.17	122.73	120.08	120.91	367	477	1
2020.07.24	121.17	122.47	120.13	121.69	162	292	1
2020.07.27	123.46	124.29	121.07	122.73	132	246	1
2020.07.28	122.58	123.83	120.91	122.11	98	202	1
2020.07.29	123.77	125.49	123.25	123.36	171	314	1
2020.07.30	124.29	127.93	124.29	126.17	164	353	1
2020.07.31	127.52	131.05	127.52	129.65	283	470	1
2020.08.03	128.97	131.26	126.89	127.26	100	169	1
2020.08.04	129.91	133.13	129.55	131.57	182	280	1
2020.08.05	134.69	137.30	132.15	133.13	422	588	1
2020.08.06	133.97	133.97	127.26	129.03	170	476	1
2020.08.07	127.93	130.53	124.29	124.81	322	482	1
2020.08.10	127.15	127.36	121.17	121.90	269	510	1
2020.08.11	120.65	122.21	119.35	120.65	406	681	1
2020.08.12	122.11	123.77	120.19	120.19	95	111	1
2020.08.13	121.12	126.79	120.86	126.22	340	470	1
2020.08.14	127.41	128.97	123.51	123.77	167	255	1
2020.08.17	122.73	125.70	122.73	125.44	117	169	1
2020.08.18	128.30	128.77	125.07	126.69	295	553	1
2020.08.19	127.36	130.74	123.67	124.61	590	788	1
2020.08.20	126.17	126.37	123.77	125.54	139	207	1
2020.08.21	123.93	127.52	121.69	126.01	444	629	1
2020.08.24	128.56	129.34	124.81	126.89	210	508	1
2020.08.25	127.88	132.41	126.48	132.41	224	418	1
2020.08.26	133.13	135.32	129.49	130.53	476	953	1
2020.08.27	129.75	131.05	125.85	129.96	276	494	1
2020.08.28	131.99	137.35	131.99	134.17	306	530	1
2020.08.31	135.84	141.14	134.90	139.69	412	659	1
2020.09.01	141.46	143.28	139.27	141.46	350	605	1
2020.09.02	139.90	143.54	139.01	140.94	176	286	1
2020.09.03	140.94	141.72	139.53	140.42	189	318	1
2020.09.04	141.98	146.14	141.98	144.06	251	423	1
2020.09.08	140.42	142.24	137.19	141.30	361	613	1
2020.09.09	141.72	142.50	136.26	138.34	362	557	1
2020.09.10	138.13	143.12	137.76	140.94	325	579	1
2020.09.11	141.46	142.86	139.32	141.46	171	271	1
2020.09.14	138.34	139.43	131.05	132.72	516	782	1
2020.09.15	130.43	133.81	125.85	131.05	188	284	1
