<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.09.14	163.13	164.46	162.37	163.72	631	2392	1
2017.09.15	163.14	164.31	162.18	162.77	512	2104	1
2017.09.18	162.52	163.60	162.07	162.89	596	2799	1
2017.09.19	162.32	163.42	162.30	163.42	347	1342	1
2017.09.20	163.25	163.71	162.71	163.36	296	1235	1
2017.09.21	163.13	164.90	163.01	164.77	358	1839	1
2017.09.22	164.68	166.40	164.45	166.08	669	3321	1
2017.09.25	166.07	169.04	165.57	168.58	773	3643	1
2017.09.26	168.10	168.98	167.86	168.80	504	2021	1
2017.09.27	168.45	169.63	167.97	169.55	490	4217	1
2017.09.28	168.68	169.62	168.45	169.04	334	1140	1
2017.09.29	168.98	169.10	167.89	168.07	718	4513	1
2017.10.02	167.86	168.21	166.85	167.50	309	1490	1
2017.10.03	166.91	167.50	166.55	167.38	410	1963	1
2017.10.04	167.62	167.62	165.79	166.20	445	2053	1
2017.10.05	166.26	166.44	164.78	165.14	408	1605	1
2017.10.06	165.31	165.61	163.72	163.84	382	2211	1
2017.10.09	164.31	164.66	163.54	164.31	283	1266	1
2017.10.10	164.72	165.20	164.37	164.43	396	3122	1
2017.10.11	164.13	164.90	163.95	164.78	364	1541	1
2017.10.13	165.08	165.49	164.72	165.20	376	1708	1
2017.10.16	165.31	165.73	164.55	164.55	258	1789	1
2017.10.17	164.31	164.37	163.13	163.48	347	2499	1
2017.10.18	162.83	163.84	162.77	163.36	458	1848	1
2017.10.19	163.30	163.84	162.77	162.89	295	1119	1
2017.10.20	163.30	163.84	163.25	163.84	235	831	1
2017.10.23	163.95	164.60	163.84	164.07	273	1405	1
2017.10.24	164.37	164.37	163.72	164.01	206	1091	1
2017.10.25	163.95	164.19	163.72	163.95	120	802	1
2017.10.26	163.48	163.95	163.42	163.90	98	1874	1
2017.10.27	163.95	164.07	163.84	164.01	69	578	1
2017.10.30	164.01	164.66	164.01	164.55	157	748	1
2017.10.31	164.49	165.64	164.37	164.83	334	1601	1
2017.11.01	165.47	165.59	164.77	165.01	213	752	1
2017.11.03	164.83	165.24	164.66	164.95	174	619	1
2017.11.06	164.95	165.18	164.60	164.89	117	377	1
2017.11.07	164.77	164.83	163.96	164.31	217	770	1
2017.11.08	163.91	164.08	162.86	163.56	529	3011	1
2017.11.09	162.98	164.37	162.98	164.37	348	2731	1
2017.11.10	164.49	165.12	163.79	164.60	496	3341	1
2017.11.13	164.37	165.35	164.14	164.95	292	1785	1
2017.11.14	165.01	165.82	164.77	165.18	245	1330	1
2017.11.16	165.24	165.24	164.49	165.06	412	2132	1
2017.11.17	165.18	165.18	164.60	164.89	157	897	1
2017.11.21	164.60	164.77	164.25	164.49	179	863	1
2017.11.22	164.66	165.12	164.66	164.89	276	1700	1
2017.11.23	164.60	165.70	164.60	165.41	344	1852	1
2017.11.24	165.06	165.76	164.83	165.59	362	2540	1
2017.11.27	165.82	166.05	165.76	165.88	160	1251	1
2017.11.28	166.57	166.57	166.28	166.34	147	1203	1
2017.11.29	166.51	166.69	166.40	166.69	230	1412	1
2017.11.30	166.18	166.63	164.16	165.62	306	1301	1
2017.12.01	165.00	165.34	164.38	165.22	223	614	1
2017.12.04	164.94	166.63	164.83	166.40	242	654	1
2017.12.05	166.35	166.97	166.18	166.18	162	614	1
2017.12.06	165.84	166.85	165.79	166.57	315	2157	1
2017.12.07	166.35	166.85	165.84	166.07	170	856	1
2017.12.08	166.24	166.24	164.72	166.01	421	2090	1
2017.12.11	165.56	165.56	164.77	165.17	129	367	1
2017.12.12	164.72	165.28	164.44	165.28	164	659	1
2017.12.13	164.94	165.67	164.72	165.67	186	577	1
2017.12.14	165.28	165.62	164.94	165.06	138	1150	1
2017.12.15	165.34	165.73	165.00	165.67	105	481	1
2017.12.18	165.62	165.73	165.34	165.62	102	387	1
2017.12.19	165.73	166.18	165.56	166.01	121	635	1
2017.12.20	165.62	165.73	165.11	165.73	143	688	1
2017.12.21	165.62	165.79	165.28	165.67	139	1345	1
2017.12.22	165.39	165.62	165.28	165.45	39	283	1
2017.12.26	165.45	165.45	165.11	165.28	29	121	1
2017.12.27	164.83	165.17	164.83	165.17	46	500	1
2017.12.28	165.17	166.00	165.17	165.61	83	240	1
2018.01.02	165.56	166.06	165.39	165.73	91	599	1
2018.01.03	165.22	165.84	165.11	165.50	102	306	1
2018.01.04	165.56	165.67	164.39	164.61	249	978	1
2018.01.05	164.16	164.50	164.05	164.22	151	424	1
2018.01.08	164.44	164.44	163.88	164.05	84	213	1
2018.01.09	164.16	164.16	163.55	163.83	171	916	1
2018.01.10	163.49	164.39	163.44	164.16	171	867	1
2018.01.11	164.39	164.39	163.94	164.11	134	392	1
2018.01.12	164.44	164.44	163.61	163.88	134	715	1
2018.01.15	163.72	163.83	163.66	163.72	57	179	1
2018.01.16	163.61	163.61	163.16	163.16	162	736	1
2018.01.17	163.49	163.55	162.94	162.94	293	1116	1
2018.01.18	163.05	163.05	162.15	162.38	172	721	1
2018.01.19	162.55	162.60	162.04	162.38	93	288	1
2018.01.22	162.77	163.16	162.77	163.05	51	425	1
2018.01.23	163.49	164.11	163.49	163.61	304	2588	1
2018.01.24	163.21	163.55	162.94	162.99	120	722	1
2018.01.26	162.71	163.05	162.49	162.71	121	745	1
2018.01.29	162.49	162.66	162.38	162.55	36	330	1
2018.01.30	162.71	162.71	162.49	162.66	82	174	1
2018.01.31	162.15	162.66	161.76	162.66	145	546	1
2018.02.01	162.94	163.22	162.10	162.32	97	382	1
2018.02.02	161.70	162.77	161.59	162.77	82	1335	1
2018.02.05	162.94	162.94	162.15	162.49	95	256	1
2018.02.06	162.38	163.16	162.38	162.43	130	1060	1
2018.02.07	162.88	163.11	162.26	162.83	90	421	1
2018.02.08	162.54	163.22	162.54	162.94	108	872	1
2018.02.09	162.94	163.44	162.83	162.99	60	409	1
2018.02.14	163.05	163.16	162.88	162.88	21	112	1
2018.02.15	162.99	163.22	162.99	162.99	22	73	1
2018.02.16	162.49	163.44	162.43	162.88	117	373	1
2018.02.19	163.16	163.22	162.94	162.99	29	70	1
2018.02.20	162.99	164.23	162.99	164.23	157	733	1
2018.02.21	164.18	164.18	162.32	163.33	131	695	1
2018.02.22	163.44	163.44	162.43	162.77	125	261	1
2018.02.23	162.54	162.94	162.49	162.82	54	222	1
2018.02.26	162.99	163.44	162.88	163.16	37	131	1
2018.02.27	163.11	163.44	163.05	163.44	42	348	1
2018.02.28	163.67	164.12	162.99	163.50	137	682	1
